Id,Category
s_s_ donald trump compar to mccarthi as republican spat deepen e_e_,real
s_s_ donald trump visit cia e_e_,real
s_s_ doe malcolm turnbul lampoon of donald trump e_e_,real
s_s_ trump disput war widow recollect say he e_e_,real
s_s_ donald trump malcolm turnbul media critic wast hi time e_e_,real
s_s_ trump thank putin for slash us diplomat payrol e_e_,real
s_s_ barack obama urg donal trump to stand up to russia e_e_,real
s_s_ donald trump conserv agenda with a vengeanc e_e_,real
s_s_ welcom to team trump e_e_,real
s_s_ trump name jerom powel as new feder reserv chair e_e_,real
s_s_ us china tension could stretch australia after trump dump tpp e_e_,real
s_s_ trump deni mislead over armada head toward north korea e_e_,real
s_s_ analyst market welcom donald trump bank regul rollback e_e_,real
s_s_ us major parti push white hous to prove trump e_e_,real
s_s_ poll open in us elect trump clinton live e_e_,real
s_s_ donald trump travel ban stop iranian scientist return to us e_e_,real
s_s_ trump say n korea missil launch show disrespect to china e_e_,real
s_s_ 100 day donald trump whi doe it matter e_e_,real
s_s_ donald trump call bridgitt macron beauti dure pari visit e_e_,real
s_s_ us currenc dip after donald trump say high e_e_,real
s_s_ trump back republican roy moor beaten in crucial senat race e_e_,real
s_s_ trump repeatedli demean women on hit show the apprentic e_e_,real
s_s_ trump draft order would halt syrian refuge process e_e_,real
s_s_ donald trump tell guam north korean threat a tourism boost e_e_,real
s_s_ abc news quiz trump golden globe e_e_,real
s_s_ cancel it trump say new air forc one cost ridicul e_e_,real
s_s_ trump trade polici easier said than done e_e_,real
s_s_ trump voter fraud belief base on studi white hous say e_e_,real
